divorce_date,divorce_type,nationality_man,date_of_birth_man,place_of_birth_man,birth_municipality_man,birth_federal_man,birth_country_man,age_man,residence_municipality_man,residence_federal_man,residence_country_man,monthly_income_man,occupation_man,place_of_residence_man,nationality_woman,date_of_birth_woman,date_of_birth_registration_date_woman,place_of_birth_woman,birth_municipality_woman,birth_federal_woman,birth_country_woman,age_woman,place_of_residence_woman,residence_municipality_woman,residence_federal_woman,residence_country_woman,occupation_woman,monthly_income_woman,date_of_marriage,marriage_certificate_place,marriage_certificate_municipality,marriage_certificate_federal,level_of_education_man,employment_status_man,level_of_education_woman,employment_status_woman,marriage_duration,marriage_duration_months,num_children,custody
02.01.2011,Notwendig,Deutsch,06.04.2069,Hamburg,Hamburg,Köln,Deutschland,41.0,Düsseldorf,Köln,Deutschland,5000.0,Ingenieur,Düsseldorf,Russisch,16.02.2070,,Leipzig,Dortmund,Hamburg,Deutschland,40.0,Stuttgart,Essen,Köln,Deutschland,Ingenieur,5000.0,02.02.2000,München,Köln,Stuttgart,Vorbereitungsstufe,Einrichtung,Beruflich,Angestellter,2.0,,2.0,Mutter
02.01.2011,Freiwillig,Russisch,13.11.1979,Dortmund,Frankfurt am Main,Stuttgart,Deutschland,31.0,Stuttgart,Köln,Deutschland,12000.0,,Frankfurt am Main,Kroatisch,13.05.1981,11/6/81,Essen,Hamburg,Frankfurt am Main,Deutschland,29.0,Düsseldorf,Essen,Leipzig,Deutschland,,12000.0,13.05.2006,Essen,Leipzig,Berlin,Sekundarstufe,Angestellter,Sekundarstufe,Angestellter,2.0,,,
02.01.2011,Freiwillig,Rumänisch,20.09.1982,München,Leipzig,Leipzig,Deutschland,28.0,Dortmund,Berlin,Deutschland,6000.0,,Dortmund,Spanisch,30.01.1988,9/3/88,Köln,Frankfurt am Main,Stuttgart,Deutschland,22.0,Frankfurt am Main,Düsseldorf,Frankfurt am Main,Deutschland,,10000.0,06.08.2007,Berlin,Düsseldorf,Dortmund,Beruflich,Angestellter,Beruflich,Angestellter,3.0,,,
02.01.2011,Notwendig,Spanisch,31.01.2073,Stuttgart,Düsseldorf,Hamburg,Deutschland,38.0,Dortmund,Düsseldorf,Deutschland,25000.0,,Hamburg,Kroatisch,11.05.2070,,München,Leipzig,Düsseldorf,Deutschland,40.0,Frankfurt am Main,Berlin,Düsseldorf,Deutschland,,,10.10.1998,Hamburg,Frankfurt am Main,Essen,Beruflich,Angestellter,Beruflich,Nicht beschäftigt,12.0,3.0,2.0,Mutter
02.01.2012,Notwendig,Bulgarisch,04.09.2048,Berlin,Frankfurt am Main,Düsseldorf,Deutschland,63.0,Düsseldorf,Leipzig,Deutschland,,Koch,Hamburg,Griechisch,30.01.2056,,Essen,Berlin,Essen,Deutschland,56.0,Berlin,Stuttgart,Düsseldorf,Deutschland,Mechaniker,,01.05.1974,Dortmund,Frankfurt am Main,Dortmund,,,,,37.0,,2.0,
02.01.2012,Notwendig,Spanisch,07.09.2073,Berlin,Düsseldorf,Stuttgart,Deutschland,38.0,Hamburg,Frankfurt am Main,Deutschland,20000.0,Lehrer,Frankfurt am Main,Polnisch,20.05.1974,,Essen,München,Berlin,Deutschland,37.0,Dortmund,Essen,Hamburg,Deutschland,Ingenieur,15.0,08.03.2000,Dortmund,Düsseldorf,Hamburg,Beruflich,Angestellter,Beruflich,Angestellter,11.0,,,
03.01.2000,Freiwillig,Spanisch,,,,,,24.0,,,,,,,Deutsch,,,,,,,33.0,,,,,,,22.03.1994,Stuttgart,Hamburg,Düsseldorf,Sekundarstufe,Angestellter,Sekundarstufe,Angestellter,,,,
03.01.2005,Freiwillig,Türkisch,23.03.1984,Düsseldorf,Hamburg,Hamburg,Deutschland,20.0,Leipzig,Stuttgart,Deutschland,,Lehrer,Stuttgart,Italienisch,10.10.1981,14/11/81,Düsseldorf,Köln,Dortmund,Deutschland,23.0,Frankfurt am Main,München,Köln,Deutschland,Lehrer,,02.04.2004,Dortmund,Düsseldorf,Berlin,Beruflich,Nicht beschäftigt,Beruflich,Nicht beschäftigt,1.0,,,
03.01.2005,Notwendig,Kroatisch,07.09.2070,Frankfurt am Main,München,München,Deutschland,34.0,,,,5600.0,Ingenieur,,Italienisch,25.05.2069,,Düsseldorf,Stuttgart,Leipzig,Deutschland,35.0,Leipzig,Köln,Stuttgart,Deutschland,Mechaniker,4500.0,09.10.1991,Düsseldorf,Dortmund,Hamburg,Sekundarstufe,Angestellter,Sekundarstufe,Angestellter,10.0,,2.0,Mutter
03.01.2005,Notwendig,Spanisch,02.07.1974,Leipzig,Hamburg,Essen,Deutschland,31.0,Hamburg,Berlin,Deutschland,3500.0,Ingenieur,Köln,Kroatisch,19.03.2067,,Berlin,Düsseldorf,Dortmund,Deutschland,37.0,Frankfurt am Main,München,Köln,Deutschland,Verkäufer,4000.0,02.01.1993,Stuttgart,München,München,Vorbereitungsstufe,Angestellter,Vorbereitungsstufe,Angestellter,10.0,,2.0,Mutter
03.01.2005,Notwendig,Kroatisch,10.03.2071,Köln,Berlin,Düsseldorf,Deutschland,33.0,Essen,Essen,Deutschland,,,Hamburg,Bulgarisch,30.03.2072,,Frankfurt am Main,München,Essen,Deutschland,32.0,Köln,Dortmund,Hamburg,Deutschland,,,28.06.1993,Hamburg,Frankfurt am Main,Hamburg,Sekundarstufe,JORNALERO O PEON,,TRABAJADOR POR CUENTA PROPIA EN VIA PUBLICA ,11.0,8.0,1.0,Mutter
03.01.2005,Notwendig,Kroatisch,17.08.2048,Köln,Essen,Dortmund,Deutschland,56.0,München,München,Deutschland,,Buchhalter,Stuttgart,Bulgarisch,29.10.2057,,Hamburg,Düsseldorf,Essen,Deutschland,47.0,Köln,München,Leipzig,Deutschland,Buchhalter,,07.03.1976,Berlin,Leipzig,Berlin,Beruflich,Angestellter,Beruflich,Angestellter,,,,
03.01.2006,Notwendig,Griechisch,04.03.2064,Düsseldorf,Essen,Düsseldorf,Deutschland,41.0,Essen,München,Deutschland,12000.0,Verkäufer,Essen,Kroatisch,20.08.1976,,Berlin,Dortmund,München,Deutschland,29.0,Essen,Essen,Leipzig,Deutschland,Softwareentwickler,7000.0,11.12.1998,Köln,Köln,Düsseldorf,Beruflich,PATRON O EMPRESARIO,Beruflich,Angestellter,7.0,,1.0,Mutter
03.01.2006,Notwendig,Deutsch,,Leipzig,Stuttgart,Hamburg,Deutschland,,,,,,Koch,,Deutsch,22.11.2024,,Düsseldorf,Stuttgart,Leipzig,Deutschland,81.0,Hamburg,Köln,Stuttgart,Deutschland,Lehrer,,05.09.2068,München,Essen,Stuttgart,PRIMARIA,Nicht beschäftigt,PRIMARIA,Nicht beschäftigt,28.0,,9.0,
03.01.2007,Notwendig,Italienisch,03.03.2069,Hamburg,Hamburg,Frankfurt am Main,Deutschland,37.0,Essen,Düsseldorf,Deutschland,12000.0,Koch,München,Spanisch,06.07.2066,,Stuttgart,München,Dortmund,Deutschland,40.0,Leipzig,Düsseldorf,Hamburg,Deutschland,Lehrer,2500.0,30.04.1996,Stuttgart,Essen,Frankfurt am Main,Beruflich,Angestellter,Vorbereitungsstufe,Angestellter,11.0,,1.0,Mutter
03.01.2007,Notwendig,Polnisch,26.09.2061,Dortmund,Köln,Essen,Deutschland,45.0,München,Köln,Deutschland,6000.0,Softwareentwickler,Stuttgart,Polnisch,17.05.2062,,Düsseldorf,Düsseldorf,München,Deutschland,44.0,Essen,Hamburg,Berlin,Deutschland,Mechaniker,4000.0,19.03.1987,Hamburg,Essen,München,Beruflich,Angestellter,Beruflich,Angestellter,19.0,,3.0,Mutter
03.01.2010,Freiwillig,Bulgarisch,04.05.1987,München,Stuttgart,Essen,Deutschland,22.0,Dortmund,Köln,Deutschland,2000.0,Softwareentwickler,Düsseldorf,Polnisch,21.09.1986,15/10/87,Stuttgart,Dortmund,Leipzig,Deutschland,23.0,Düsseldorf,Dortmund,München,Deutschland,Lehrer,2000.0,12.07.2005,Essen,Stuttgart,Düsseldorf,Vorbereitungsstufe,Angestellter,Vorbereitungsstufe,Angestellter,4.0,,,
03.01.2010,Notwendig,Russisch,31.05.2068,Essen,Frankfurt am Main,Düsseldorf,Deutschland,41.0,Hamburg,Leipzig,Deutschland,5000.0,Krankenpfleger,Berlin,Griechisch,16.08.1976,,Leipzig,Dortmund,Düsseldorf,Deutschland,33.0,Dortmund,Berlin,Stuttgart,Deutschland,Krankenpfleger,3800.0,22.03.2002,Essen,München,Leipzig,Beruflich,Angestellter,Beruflich,Angestellter,3.0,,1.0,Mutter
03.01.2011,Notwendig,Bulgarisch,03.09.1984,München,Düsseldorf,Hamburg,Deutschland,26.0,München,Köln,Deutschland,,Krankenpfleger,Stuttgart,Kroatisch,26.03.1988,,Essen,Berlin,Leipzig,Deutschland,22.0,Düsseldorf,Hamburg,Berlin,Deutschland,Krankenpfleger,4000.0,24.10.2007,Berlin,Hamburg,Frankfurt am Main,,,,Angestellter,3.0,1.0,1.0,
03.01.2012,Notwendig,Polnisch,30.05.1980,München,Berlin,Essen,Deutschland,31.0,,,,,,,Russisch,09.07.1979,,Berlin,Berlin,Dortmund,Deutschland,32.0,Dortmund,Köln,München,Deutschland,,,22.01.1999,Frankfurt am Main,München,Köln,,,,,12.0,,1.0,Mutter
03.01.2013,Freiwillig,Polnisch,25.09.1981,Essen,Frankfurt am Main,Düsseldorf,Deutschland,31.0,Dortmund,Düsseldorf,Deutschland,1700.0,Verkäufer,Düsseldorf,Griechisch,06.06.1979,12/7/79,Hamburg,Düsseldorf,Düsseldorf,Deutschland,33.0,Berlin,Düsseldorf,Stuttgart,Deutschland,Mechaniker,5000.0,02.08.2008,München,Köln,Berlin,Vorbereitungsstufe,Angestellter,Vorbereitungsstufe,Angestellter,3.0,8.0,,
03.01.2013,Notwendig,Deutsch,30.08.1986,München,Frankfurt am Main,Stuttgart,Deutschland,26.0,Dortmund,Frankfurt am Main,Deutschland,3000.0,Verkäufer,Stuttgart,Griechisch,15.02.1983,,München,Hamburg,Stuttgart,Deutschland,30.0,Essen,München,Dortmund,Deutschland,Lehrer,,13.12.2004,Hamburg,Berlin,Berlin,Sekundarstufe,Angestellter,Sekundarstufe,Nicht beschäftigt,6.0,,2.0,Mutter
04.01.2002,Freiwillig,Bulgarisch,08.08.1981,München,München,Berlin,Deutschland,20.0,Berlin,Dortmund,Deutschland,,Rechtsanwalt,Hamburg,Griechisch,03.02.1984,9/4/84,Frankfurt am Main,Dortmund,Essen,Deutschland,18.0,Frankfurt am Main,Hamburg,Düsseldorf,Deutschland,Koch,,13.02.2001,Stuttgart,Hamburg,Düsseldorf,Vorbereitungsstufe,Nicht beschäftigt,,,1.0,1.0,,
04.01.2002,Freiwillig,Rumänisch,05.09.2068,Hamburg,Frankfurt am Main,Stuttgart,Deutschland,33.0,Köln,Leipzig,Deutschland,2000.0,Softwareentwickler,Stuttgart,Rumänisch,06.07.2067,19/7/67,Köln,München,Leipzig,Deutschland,34.0,Leipzig,Düsseldorf,Köln,Deutschland,Lehrer,3400.0,26.05.1989,Hamburg,München,Stuttgart,PRIMARIA,TRABAJADOR POR SU PROPIA CUENTA O EN VIA PUBLICA,Vorbereitungsstufe,Angestellter,12.0,10.0,2.0,Mutter
04.01.2003,Freiwillig,Kroatisch,17.12.1977,Hamburg,Köln,Hamburg,Deutschland,25.0,Hamburg,Leipzig,Deutschland,2000.0,Buchhalter,Berlin,Rumänisch,08.07.1975,6/8/77,München,Essen,Berlin,Deutschland,27.0,Frankfurt am Main,Hamburg,Hamburg,Deutschland,Buchhalter,1600.0,15.04.1996,Dortmund,Köln,Stuttgart,PRIMARIA,Angestellter,Sekundarstufe,Angestellter,6.0,11.0,,
04.01.2003,Freiwillig,Türkisch,26.12.1975,Dortmund,Leipzig,München,Deutschland,27.0,Stuttgart,Hamburg,Deutschland,3000.0,Ingenieur,Leipzig,Italienisch,27.01.1984,18/2/84,Leipzig,Frankfurt am Main,Hamburg,Deutschland,19.0,Dortmund,Frankfurt am Main,Hamburg,Deutschland,Arzt,,11.03.1999,Dortmund,München,Düsseldorf,Vorbereitungsstufe,Einrichtung,Vorbereitungsstufe,Nicht beschäftigt,3.0,4.0,1.0,Mutter
04.01.2005,Notwendig,Italienisch,05.02.1983,Frankfurt am Main,Hamburg,Dortmund,Deutschland,21.0,,,,,Lehrer,,Bulgarisch,06.12.1982,,Frankfurt am Main,Köln,Berlin,Deutschland,22.0,Dortmund,Essen,Frankfurt am Main,Deutschland,Mechaniker,,23.10.2003,Hamburg,Leipzig,Düsseldorf,Vorbereitungsstufe,Nicht beschäftigt,Vorbereitungsstufe,Nicht beschäftigt,1.0,,,
04.01.2008,Notwendig,Bulgarisch,04.11.2064,Düsseldorf,Leipzig,Dortmund,Deutschland,43.0,Essen,Hamburg,Deutschland,14000.0,Softwareentwickler,Berlin,Rumänisch,17.11.2070,,Köln,Stuttgart,Essen,Deutschland,37.0,Leipzig,Essen,München,Deutschland,Krankenpfleger,4200.0,30.05.2001,Frankfurt am Main,Köln,München,Beruflich,Angestellter,Beruflich,Angestellter,5.0,,1.0,Mutter
04.01.2009,Freiwillig,Spanisch,25.02.2066,Hamburg,Leipzig,Hamburg,Deutschland,43.0,Berlin,Hamburg,Deutschland,5000.0,Buchhalter,Stuttgart,Griechisch,14.01.2065,25/2/65,Stuttgart,Berlin,Essen,Deutschland,44.0,Hamburg,Hamburg,Leipzig,Deutschland,Arzt,6500.0,04.12.1985,Düsseldorf,Düsseldorf,Düsseldorf,Sekundarstufe,Angestellter,Beruflich,Angestellter,23.0,,1.0,
04.01.2009,Notwendig,Polnisch,15.10.2055,Berlin,München,Stuttgart,Deutschland,53.0,Stuttgart,Stuttgart,Deutschland,10000.0,Lehrer,Leipzig,Russisch,26.11.2063,,Köln,Hamburg,Berlin,Deutschland,45.0,Stuttgart,Essen,Berlin,Deutschland,Softwareentwickler,7000.0,27.01.1986,Dortmund,Leipzig,Leipzig,Beruflich,Angestellter,Beruflich,Angestellter,22.0,,2.0,Mutter
04.01.2009,Notwendig,Rumänisch,19.04.2055,Essen,Berlin,Köln,Deutschland,53.0,Leipzig,Essen,Deutschland,15000.0,Lehrer,Stuttgart,Kroatisch,26.06.2064,,München,Leipzig,München,Deutschland,44.0,Stuttgart,Köln,Köln,Deutschland,Verkäufer,5000.0,21.04.2001,Leipzig,Leipzig,Frankfurt am Main,Beruflich,Angestellter,Beruflich,Angestellter,7.0,,,
04.01.2009,Notwendig,Rumänisch,01.01.1979,Essen,Hamburg,München,Deutschland,30.0,Stuttgart,Leipzig,Deutschland,5000.0,Lehrer,Berlin,Rumänisch,13.03.1977,,Düsseldorf,Dortmund,München,Deutschland,32.0,Berlin,Hamburg,Dortmund,Deutschland,Buchhalter,,13.10.2000,Köln,Berlin,Leipzig,Beruflich,Angestellter,Beruflich,Nicht beschäftigt,6.0,,1.0,Mutter
06.01.2000,Freiwillig,Italienisch,15.07.2067,Berlin,Berlin,Dortmund,Deutschland,32.0,Leipzig,Frankfurt am Main,Deutschland,,Arzt,Hamburg,Türkisch,23.08.2064,14/10/77,Dortmund,Dortmund,Berlin,Deutschland,35.0,Essen,Hamburg,Essen,Deutschland,Verkäufer,1500.0,19.08.1989,Dortmund,Hamburg,Leipzig,Sekundarstufe,Angestellter,OTRO,Angestellter,10.0,,1.0,Mutter
06.01.2000,Notwendig,Türkisch,18.06.2067,Köln,Frankfurt am Main,Düsseldorf,Deutschland,32.0,Dortmund,Essen,Deutschland,,Arzt,Hamburg,Russisch,18.11.2066,,München,Essen,Dortmund,Deutschland,33.0,Leipzig,Leipzig,Dortmund,Deutschland,Koch,,26.07.1997,Stuttgart,Stuttgart,Stuttgart,Beruflich,Angestellter,Beruflich,Nicht beschäftigt,2.0,5.0,,
06.01.2001,Freiwillig,Türkisch,16.09.2066,München,Stuttgart,München,Deutschland,34.0,München,München,Deutschland,12000.0,Krankenpfleger,München,Deutsch,16.09.2066,5/12/66,Leipzig,München,Frankfurt am Main,Deutschland,34.0,Leipzig,Leipzig,Köln,Deutschland,Lehrer,8000.0,27.01.1996,Berlin,Köln,Stuttgart,Beruflich,TRABAJA EN SU VIVIENDA,Beruflich,Angestellter,5.0,4.0,,
06.01.2004,Notwendig,Bulgarisch,05.01.2048,München,Düsseldorf,Dortmund,Deutschland,56.0,,,,,Ingenieur,,Griechisch,,,,,,,,,,,,,640.0,02.04.2072,Köln,Berlin,Dortmund,PRIMARIA,Angestellter,PRIMARIA,Angestellter,,,,
06.01.2004,Freiwillig,Deutsch,21.03.2066,Düsseldorf,Leipzig,München,Deutschland,38.0,Düsseldorf,Hamburg,Deutschland,1500.0,Mechaniker,Berlin,Spanisch,06.10.1976,13/10/79,Leipzig,Dortmund,Leipzig,Deutschland,27.0,Hamburg,Leipzig,Stuttgart,Deutschland,Softwareentwickler,3000.0,14.10.2000,Frankfurt am Main,Essen,München,Beruflich,Angestellter,Beruflich,Angestellter,3.0,1.0,,
06.01.2004,Freiwillig,Rumänisch,04.03.2070,Frankfurt am Main,Stuttgart,Stuttgart,Deutschland,34.0,Köln,Köln,Deutschland,2000.0,Mechaniker,Essen,Bulgarisch,20.11.1977,23/11/78,München,Leipzig,Stuttgart,Deutschland,26.0,Köln,Köln,Leipzig,Deutschland,Ingenieur,3000.0,28.11.1998,Frankfurt am Main,Düsseldorf,Hamburg,Vorbereitungsstufe,Angestellter,Beruflich,Angestellter,5.0,6.0,1.0,Mutter
06.01.2005,Freiwillig,Bulgarisch,13.01.2073,Essen,Essen,Leipzig,Deutschland,32.0,Düsseldorf,Frankfurt am Main,Deutschland,,Krankenpfleger,Köln,Italienisch,09.03.2069,12/4/96,Frankfurt am Main,Köln,Leipzig,Deutschland,35.0,Stuttgart,Dortmund,Leipzig,Deutschland,Koch,10000.0,05.03.2003,Köln,Köln,Stuttgart,Beruflich,Angestellter,Beruflich,Angestellter,4.0,,,
06.01.2005,Notwendig,Kroatisch,,München,Stuttgart,Düsseldorf,Deutschland,35.0,,,,,Ingenieur,,Türkisch,,,Berlin,Düsseldorf,München,Deutschland,33.0,,,,,Mechaniker,,10.07.1996,Leipzig,Leipzig,Frankfurt am Main,Beruflich,Angestellter,Vorbereitungsstufe,Angestellter,,,,
06.01.2006,Freiwillig,Polnisch,07.04.1976,Stuttgart,Hamburg,Hamburg,Deutschland,29.0,Essen,Essen,Deutschland,8000.0,Buchhalter,Köln,Russisch,14.06.2068,17/6/78,Stuttgart,Düsseldorf,Düsseldorf,Deutschland,37.0,Leipzig,Dortmund,Hamburg,Deutschland,Koch,,20.03.2004,Düsseldorf,Düsseldorf,Köln,Vorbereitungsstufe,Angestellter,Beruflich,Nicht beschäftigt,2.0,,,
06.01.2006,Freiwillig,Deutsch,26.07.2043,Hamburg,Frankfurt am Main,Essen,Deutschland,62.0,Berlin,München,Deutschland,4000.0,Softwareentwickler,Berlin,Griechisch,22.09.2051,27/10/51,Dortmund,Frankfurt am Main,Frankfurt am Main,Deutschland,54.0,Essen,Essen,Köln,Deutschland,Ingenieur,2000.0,02.02.2005,München,Dortmund,München,PRIMARIA,PATRON O EMPRESARIO,PRIMARIA,PATRON O EMPRESARIO,1.0,,,
06.01.2006,Notwendig,Polnisch,18.07.1979,Berlin,Frankfurt am Main,Frankfurt am Main,Deutschland,26.0,Hamburg,Düsseldorf,Deutschland,3000.0,Softwareentwickler,Berlin,Italienisch,14.02.1978,,Berlin,Hamburg,Berlin,Deutschland,28.0,München,Düsseldorf,Frankfurt am Main,Deutschland,Mechaniker,,04.02.1997,Hamburg,München,Dortmund,Vorbereitungsstufe,TRABAJADOR POR SU PROPIA CUENTA O EN VIA PUBLICA,Beruflich,Nicht beschäftigt,9.0,,1.0,
06.01.2006,Notwendig,Rumänisch,06.09.1979,München,Berlin,Düsseldorf,Deutschland,26.0,Stuttgart,Essen,Deutschland,,,München,Spanisch,24.06.1983,,Essen,Stuttgart,Dortmund,Deutschland,22.0,Frankfurt am Main,München,Köln,Deutschland,Arzt,1200.0,08.11.2000,Stuttgart,München,Frankfurt am Main,Sekundarstufe,,Sekundarstufe,Angestellter,6.0,,1.0,
06.01.2006,Notwendig,Deutsch,29.05.2063,Berlin,Dortmund,Frankfurt am Main,Deutschland,43.0,Dortmund,Essen,Deutschland,,Lehrer,Köln,Polnisch,10.12.2069,,Hamburg,Frankfurt am Main,Leipzig,Deutschland,36.0,Düsseldorf,Essen,Hamburg,Deutschland,Buchhalter,,16.12.1993,Köln,Berlin,Hamburg,Beruflich,Angestellter,Beruflich,Angestellter,12.0,,2.0,
06.01.2007,Freiwillig,Kroatisch,27.11.2072,Leipzig,Essen,Stuttgart,Deutschland,34.0,Frankfurt am Main,Stuttgart,Deutschland,,,München,Kroatisch,07.01.1976,31/7/76,Dortmund,München,Düsseldorf,Deutschland,30.0,Leipzig,Hamburg,Frankfurt am Main,Deutschland,,,13.08.2005,Frankfurt am Main,München,Hamburg,Beruflich,Angestellter,Beruflich,Angestellter,1.0,9.0,,
06.01.2010,Notwendig,Türkisch,06.02.2057,Hamburg,Leipzig,München,Deutschland,52.0,Frankfurt am Main,Dortmund,Deutschland,,Mechaniker,Leipzig,Rumänisch,20.07.2062,,Hamburg,Frankfurt am Main,Dortmund,Deutschland,47.0,München,München,Berlin,Deutschland,Softwareentwickler,4000.0,10.10.1980,Köln,Stuttgart,Düsseldorf,Beruflich,Nicht beschäftigt,Beruflich,Angestellter,28.0,,2.0,
06.01.2010,Freiwillig,Griechisch,19.10.1989,Hamburg,Essen,Dortmund,COSTA RICA,20.0,Essen,Dortmund,Deutschland,4000.0,Verkäufer,Köln,Rumänisch,25.05.1986,24/6/86,Köln,Leipzig,Leipzig,Deutschland,23.0,Düsseldorf,Stuttgart,Stuttgart,Deutschland,Arzt,4000.0,16.02.2009,Köln,München,Hamburg,Beruflich,Angestellter,Beruflich,Angestellter,1.0,3.0,,
06.01.2011,Freiwillig,Russisch,22.04.1979,Hamburg,Essen,Essen,Deutschland,32.0,Frankfurt am Main,Berlin,Deutschland,3000.0,Arzt,Hamburg,Türkisch,14.03.2073,18/6/73,Köln,Essen,Dortmund,Deutschland,38.0,Düsseldorf,Düsseldorf,Hamburg,Deutschland,Krankenpfleger,,26.01.2010,Frankfurt am Main,Stuttgart,Stuttgart,PRIMARIA,Angestellter,PRIMARIA,Nicht beschäftigt,1.0,2.0,,
06.01.2011,Freiwillig,Kroatisch,04.10.1978,Dortmund,Essen,Hamburg,Deutschland,33.0,Leipzig,Dortmund,Deutschland,6000.0,Krankenpfleger,Berlin,Spanisch,01.07.1977,26/12/78,Düsseldorf,Frankfurt am Main,Berlin,Deutschland,34.0,Stuttgart,München,Essen,Deutschland,Krankenpfleger,6000.0,15.08.2009,Frankfurt am Main,München,Frankfurt am Main,Beruflich,Angestellter,Beruflich,Angestellter,1.0,9.0,,
